Name_,Tm_,salary_,salary_cap,Tm,salary_temp,salary,Name
John Collins,ATL,23000000,133987066,ATL,23000000,23000000,John Collins
Danilo Gallinari,ATL,20475000,133987066,ATL,20475000,20475000,Danilo Gallinari
Bogdan Bogdanović,ATL,18000000,133987066,ATL,18000000,18000000,Bogdan Bogdanović
Clint Capela,ATL,17103448,133987066,ATL,17103448,17103448,Clint Capela
Jayson Tatum,BOS,28103550,134424240,BOS,28103550,28103550,Jayson Tatum
Al Horford,BOS,27000000,134424240,BOS,27000000,27000000,Al Horford
Jaylen Brown,BOS,24830357,134424240,BOS,24830357,24830357,Jaylen Brown
Derrick White,BOS,15178571,134424240,BOS,15178571,15178571,Derrick White
Marcus Smart,BOS,14339285,134424240,BOS,14339285,14339285,Marcus Smart
Kevin Durant,BRK,40918900,216429557,BRK,40918900,40918900,Kevin Durant
Kyrie Irving,BRK,34916200,216429557,BRK,34916200,34916200,Kyrie Irving
Ben Simmons,BRK,31590000,216429557,BRK,31590000,31590000,Ben Simmons
Joe Harris,BRK,17357143,216429557,BRK,17357143,17357143,Joe Harris
Blake Griffin,BRK,32405817,216429557,BRK,32405817,32405817,Blake Griffin
Goran Dragić,BRK,20168742,216429557,BRK,20168742,20168742,Goran Dragić
DeMar DeRozan,CHI,26000000,147576345,CHI,26000000,26000000,DeMar DeRozan
Nikola Vučević,CHI,24000000,147576345,CHI,24000000,24000000,Nikola Vučević
Zach LaVine,CHI,19500000,147576345,CHI,19500000,19500000,Zach LaVine
Lonzo Ball,CHI,18604651,147576345,CHI,18604651,18604651,Lonzo Ball
Derrick Jones Jr.,CHI,9720900,147576345,CHI,9720900,9720900,Derrick Jones Jr.
Tristan Thompson,CHI,10720900,147576345,CHI,10720900,10720900,Tristan Thompson
Gordon Hayward,CHO,29900000,121141745,CHO,29900000,29900000,Gordon Hayward
Terry Rozier,CHO,17905263,121141745,CHO,17905263,17905263,Terry Rozier
Kelly Oubre Jr.,CHO,12000000,121141745,CHO,12000000,12000000,Kelly Oubre Jr.
Montrezl Harrell,CHO,9720900,121141745,CHO,9720900,9720900,Montrezl Harrell
Nicolas Batum,CHO,12213507,121141745,CHO,12213507,12213507,Nicolas Batum
Kevin Love,CLE,31300000,140610783,CLE,31300000,31300000,Kevin Love
Jarrett Allen,CLE,20000000,140610783,CLE,20000000,20000000,Jarrett Allen
Caris LeVert,CLE,17500000,140610783,CLE,17500000,17500000,Caris LeVert
Lauri Markkanen,CLE,15690909,140610783,CLE,15690909,15690909,Lauri Markkanen
Tim Hardaway Jr.,DAL,21306816,122207970,DAL,21306816,21306816,Tim Hardaway Jr.
Spencer Dinwiddie,DAL,17142857,122207970,DAL,17142857,17142857,Spencer Dinwiddie
Dāvis Bertāns,DAL,16000000,122207970,DAL,16000000,16000000,Dāvis Bertāns
Dwight Powell,DAL,11000000,122207970,DAL,11000000,11000000,Dwight Powell
Luka Dončić,DAL,10174391,122207970,DAL,10174391,10174391,Luka Dončić
Reggie Bullock,DAL,9536000,122207970,DAL,9536000,9536000,Reggie Bullock
Jamal Murray,DEN,31590000,138883244,DEN,31590000,31590000,Jamal Murray
Nikola Jokic,DEN,30510423,138883244,DEN,30510423,30510423,Nikola Jokic
Aaron Gordon,DEN,16409091,138883244,DEN,16409091,16409091,Aaron Gordon
Will Barton,DEN,15384615,138883244,DEN,15384615,15384615,Will Barton
Blake Griffin,DET,32405817,147239171,DET,32405817,32405817,Blake Griffin
Jerami Grant,DET,20000000,147239171,DET,20000000,20000000,Jerami Grant
Kelly Olynyk,DET,12195122,147239171,DET,12195122,12195122,Kelly Olynyk
Marvin Bagley III,DET,11312114,147239171,DET,11312114,11312114,Marvin Bagley III
Cade Cunningham,DET,10050120,147239171,DET,10050120,10050120,Cade Cunningham
DeAndre Jordan,DET,11109327,147239171,DET,11109327,11109327,DeAndre Jordan
Stephen Curry,GSW,45780966,178338219,GSW,45780966,45780966,Stephen Curry
Klay Thompson,GSW,37980720,178338219,GSW,37980720,37980720,Klay Thompson
Andrew Wiggins,GSW,31579390,178338219,GSW,31579390,31579390,Andrew Wiggins
Draymond Green,GSW,24026712,178338219,GSW,24026712,24026712,Draymond Green
John Wall,HOU,44310840,127460806,HOU,44310840,44310840,John Wall
Eric Gordon,HOU,18218818,127460806,HOU,18218818,18218818,Eric Gordon
Christian Wood,HOU,13666667,127460806,HOU,13666667,13666667,Christian Wood
Buddy Hield,IND,22477273,138512923,IND,22477273,22477273,Buddy Hield
Malcolm Brogdon,IND,21700000,138512923,IND,21700000,21700000,Malcolm Brogdon
