Player,Tm,POS,AGE,GP,MPG,MIN,USG,TO,FTA,FT,2PA,PP,3PA,PPP,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
Bogdan Bogdanovic,ATL,SG,28.74,44,29.7,61.8,21.3,8.5,44,0.909,232,0.522,333,0.438,0.602,0.616,16.4,3.6,6.7,3.3,17.6,1.11,0.3,1.23,7.8,121.1,108.3
Clint Capela,ATL,C,27,63,30.1,62.8,19.9,8.4,227,0.573,696,0.595,0,0,0.595,0.602,15.2,14.3,26,0.8,4.1,0.7,2.05,1.16,7.4,124.3,103.3
John Collins,ATL,C,23.65,63,29.3,61.1,22.2,8.9,204,0.833,563,0.615,208,0.399,0.61,0.645,17.6,7.4,13.8,1.2,6.9,0.54,1,1.33,7.4,124.3,104.1
Kris Dunn,ATL,G,27.16,4,11.4,23.6,16.1,17.9,4,0.75,10,0.1,2,0,0.083,0.182,1.3,1.5,7.2,0.5,5.4,0.5,0.5,0.75,3.5,40.9,91.4
Bruno Fernando,ATL,C,22.75,33,6.8,14.3,14.4,28.1,22,0.682,42,0.429,2,0,0.409,0.475,1.5,2.4,18.9,0.3,5.8,0.12,0.09,0.64,6,85.6,102.2
Danilo Gallinari,ATL,F,32.77,51,24,49.9,21.2,7.2,174,0.925,221,0.466,254,0.406,0.542,0.613,13.3,4.2,9.5,1.5,9.2,0.59,0.2,0.84,7.3,122.5,106.6
Brandon Goodwin,ATL,G,25.62,47,13.2,27.5,19.5,13,43,0.651,120,0.433,103,0.311,0.448,0.471,4.9,1.5,6.1,2,21.7,0.36,0,0.77,7.4,100.2,110.2
Solomon Hill,ATL,F,30.16,71,21.3,44.4,10.3,11.7,46,0.761,85,0.447,212,0.321,0.471,0.496,4.4,3,7.7,1.1,6.4,0.7,0.15,0.59,4.6,103.5,108.3
Kevin Huerter,ATL,SG,22.72,69,30.8,64.2,17.2,9.4,64,0.781,345,0.51,386,0.363,0.528,0.541,11.9,3.3,5.9,3.5,16.3,1.19,0.26,1.14,6.7,112.1,108.5
De'Andre Hunter,ATL,PF,23.46,23,29.5,61.4,20.2,9.2,85,0.859,153,0.582,95,0.326,0.546,0.603,15,4.8,8.9,1.9,9.7,0.83,0.52,1.26,7,118.4,106.8
Nathan Knight,ATL,PF,23.66,33,8.4,17.6,21.6,10.9,55,0.8,66,0.47,33,0.182,0.404,0.503,3.8,2.2,14.1,0.2,4,0.27,0.3,0.45,5.7,106,106.8
Skylar Mays,ATL,PG,23.7,33,8.2,17,19.1,7.6,25,0.88,58,0.517,40,0.35,0.52,0.569,3.8,1.1,7.1,0.9,16.4,0.42,0.06,0.27,7.6,120.8,110
Onyeka Okongwu,ATL,PF,20.43,50,12,25.1,14.7,14.3,57,0.632,146,0.658,3,0,0.644,0.655,4.6,3.3,14.8,0.4,4.4,0.46,0.66,0.58,6.1,123.6,96.7
Cam Reddish,ATL,SF,21.71,26,28.9,60.1,19.3,10.2,82,0.817,137,0.46,126,0.262,0.428,0.488,11.2,4,7.6,1.3,6.5,1.27,0.35,1.31,5.4,99.1,106.2
Rajon Rondo,ATL,PG,35.23,27,14.9,31,16.2,26,2,0.5,65,0.415,45,0.378,0.477,0.478,3.9,2,7.5,3.5,32.2,0.7,0.07,1.44,8.1,97.5,108.6
Tony Snell,ATL,SG,29.52,47,21.1,44,8.6,10.7,11,1,62,0.419,109,0.569,0.696,0.708,5.3,2.4,6.2,1.3,7.9,0.28,0.23,0.45,4.8,134.7,110.2
Lou Williams,ATL,PG,34.55,24,21.1,43.9,24.3,14.6,54,0.87,163,0.368,54,0.444,0.442,0.496,10,2.1,5.4,3.4,23.7,0.33,0.08,1.71,7.9,100.7,114.2
Trae Young,ATL,PG,22.66,63,33.7,70.3,33,16.2,546,0.886,715,0.491,397,0.343,0.499,0.589,25.3,3.9,6.3,9.4,45.5,0.84,0.17,4.14,11.6,116.9,111.9
Jaylen Brown,BOS,PF,24.56,58,34.5,71.8,29.7,11.5,250,0.764,701,0.535,410,0.398,0.558,0.586,24.7,6,9.7,3.4,16.5,1.24,0.55,2.72,9.2,111.6,107.3
Carsen Edwards,BOS,G,23.18,31,8.9,18.5,19.3,5.7,13,0.846,48,0.604,63,0.286,0.505,0.527,4,0.8,5.3,0.5,7.4,0.23,0.03,0.23,5.3,107.5,108.8
Tacko Fall,BOS,C,25.43,18,7.5,15.7,13.2,14.4,15,0.333,29,0.724,0,0,0.724,0.66,2.6,2.9,21.4,0.2,3.1,0.06,1.11,0.33,6.1,123.1,96.3
Evan Fournier,BOS,SG,28.55,16,29.5,61.5,18,9.6,14,0.714,77,0.429,95,0.463,0.576,0.584,13,3.3,6.2,3.1,14.9,1.25,0.63,1.19,6.9,116.1,107.5
Javonte Green,BOS,SF,27.82,25,13.8,28.8,12.1,13.4,30,0.667,49,0.653,22,0.318,0.599,0.624,4.2,2.1,8.4,0.4,4.3,0.72,0.08,0.52,4.4,119.4,106.5
Luke Kornet,BOS,C,25.84,18,14.1,29.4,13.7,7.4,2,0.5,38,0.684,36,0.25,0.534,0.534,4.4,2.9,11.4,1.1,10.9,0.11,1.39,0.33,6.8,116,109.5
Romeo Langford,BOS,SG,21.56,18,15.7,32.7,11.3,13.5,12,0.75,41,0.39,18,0.278,0.398,0.436,3.1,1.9,6.9,0.7,5.9,0.33,0.22,0.56,4.1,94.3,109.7
Aaron Nesmith,BOS,SF,21.58,46,14.5,30.3,13.7,10.8,28,0.786,70,0.543,108,0.37,0.551,0.573,4.7,2.8,10.6,0.5,4.6,0.33,0.2,0.5,5.2,112.3,102.6
Semi Ojeleye,BOS,F,26.45,56,17,35.3,11.6,8.2,32,0.75,63,0.492,158,0.367,0.534,0.553,4.6,2.6,8.6,0.7,5.1,0.3,0,0.38,4.8,113.9,111.8
Jabari Parker,BOS,F,26.17,10,13.8,28.8,18.9,11.5,13,0.769,38,0.632,10,0.2,0.563,0.596,6.4,3.6,14.5,1,10.8,0.1,0.4,0.7,8.2,117.6,109.7
Payton Pritchard,BOS,G,23.3,66,19.2,40,16.7,10.8,45,0.889,170,0.482,248,0.411,0.562,0.582,7.7,2.4,6.9,1.8,13.3,0.56,0.14,0.8,6.7,116.3,109.1
Marcus Smart,BOS,G,27.2,48,32.9,68.6,18.4,14.2,162,0.79,228,0.482,282,0.33,0.489,0.539,13.1,3.5,5.9,5.7,23.6,1.5,0.5,2,7.8,113.2,108.7
Jayson Tatum,BOS,SG,23.21,64,35.8,74.5,30.8,10.4,340,0.868,833,0.502,485,0.386,0.53,0.576,26.4,7.4,11.5,4.3,20.3,1.17,0.48,2.67,10.5,113.4,109.7
Jeff Teague,BOS,PG,32.93,34,18.1,37.8,17.7,15.4,61,0.836,132,0.394,56,0.464,0.484,0.542,6.9,1.7,5.1,2.1,16.2,0.76,0.21,1.15,6.4,107.4,110.2
Daniel Theis,BOS,C,29.12,42,24.5,50.9,15,11.4,67,0.687,193,0.653,95,0.347,0.609,0.625,9.5,5.2,11.9,1.6,9.3,0.6,1.02,0.98,7,122,103.6
Tristan Thompson,BOS,PF,30.18,54,23.8,49.6,14.8,14.1,120,0.592,323,0.523,3,0,0.518,0.54,7.6,8.1,19,1.2,7.2,0.44,0.61,1.15,7.1,114.5,105.4
Moritz Wagner,BOS,PF,24.06,9,6.8,14.1,16.9,37.7,2,0.5,8,0.25,6,0.333,0.357,0.37,1.2,2.1,17.4,0.7,12.4,0,0.11,1,7.1,65.4,97
Kemba Walker,BOS,PG,31.03,43,31.8,66.3,26.1,10.6,149,0.899,323,0.486,353,0.36,0.514,0.559,19.3,4,6.9,4.9,23.8,1.12,0.28,2.05,9.1,113.5,112.6
Tremont Waters,BOS,G,23.35,26,9.1,19,21.5,22.8,17,0.941,46,0.413,38,0.395,0.494,0.541,3.8,0.8,4.9,2.4,36.4,0.58,0.04,1.04,8.5,107.7,108.9
Robert Williams III,BOS,PF,23.58,52,18.9,39.5,15,15.2,73,0.616,256,0.727,2,0,0.721,0.719,8,6.9,20.2,1.8,14.2,0.83,1.77,1,9.8,137.8,101.5
Grant Williams,BOS,F,22.46,63,18.1,37.6,12.3,17.2,51,0.588,118,0.508,129,0.372,0.534,0.546,4.7,2.8,8.7,1,7.4,0.51,0.37,0.89,5.2,104,101.9
LaMarcus Aldridge,BRK,PF,35.83,5,26,54.3,19.9,11.8,10,1,43,0.488,5,0.8,0.563,0.611,12.8,4.8,10.2,2.6,14.3,0.6,2.2,1.4,8.3,116.4,107.4
Jarrett Allen,BRK,C,23.07,12,26.6,55.5,15.5,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,21.6,1.7,8.3,0.58,1.58,1.83,8.8,134.4,106.6
Bruce Brown,BRK,SG,24.75,65,22.3,46.5,15.9,10.2,117,0.735,364,0.599,59,0.288,0.576,0.604,8.8,5.4,13.3,1.6,9.8,0.86,0.43,0.83,7.6,123.9,105
Chris Chiozza,BRK,PG,25.49,22,10.6,22,20.9,14.4,17,0.765,46,0.391,42,0.31,0.426,0.461,4,1.1,5.7,3,36.9,0.32,0.27,0.73,8.9,107.2,109.6
Nicolas Claxton,BRK,PF,22.08,32,18.6,38.7,14,9.4,64,0.484,140,0.636,5,0.2,0.624,0.612,6.6,5.2,15.4,0.9,6.4,0.72,1.25,0.56,6.7,123.5,102.1
Tyler Cook,BRK,F,23.65,4,4.2,8.6,10.5,25,0,0,3,0.333,0,0,0.333,0.333,0.5,0.5,6.7,0.5,14.5,0,0,0.25,4.8,88,108.1
Spencer Dinwiddie,BRK,G,28.11,3,21.4,44.7,16,21.2,6,1,9,0.444,7,0.286,0.438,0.536,6.7,4.3,11.2,3,17.5,0.67,0.33,1.67,8.3,102,108.5
Kevin Durant,BRK,F,32.63,35,33.1,68.9,31.2,14.5,238,0.882,414,0.577,189,0.45,0.608,0.666,26.9,7.1,11.8,5.6,27.5,0.71,1.29,3.43,12.4,121.4,109.3
Jeff Green,BRK,F,34.72,68,27,56.2,15.6,8.2,161,0.776,280,0.564,250,0.412,0.59,0.624,11,3.9,7.9,1.6,7.8,0.53,0.4,0.79,6.1,121.8,111
Blake Griffin,BRK,F,32.17,26,21.5,44.9,18.9,12.3,55,0.782,108,0.574,81,0.383,0.574,0.61,10,4.7,11.9,2.4,15.5,0.69,0.5,1.15,9,120.6,102.8
James Harden,BRK,G,31.72,36,36.6,76.3,28.4,16.7,263,0.856,337,0.552,262,0.366,0.551,0.619,24.6,8.6,12.9,10.9,43.8,1.28,0.75,3.97,14.4,122.4,107.8
Joe Harris,BRK,SG,29.69,69,31,64.7,16.2,7.8,63,0.778,263,0.555,444,0.475,0.654,0.663,14.1,3.6,6.4,1.9,8.4,0.68,0.2,0.9,5.9,125.3,111.7
Kyrie Irving,BRK,PG,29.15,54,34.9,72.8,30.3,9.8,218,0.922,708,0.561,378,0.402,0.576,0.614,26.9,4.8,7.5,6,28.6,1.41,0.69,2.39,10.5,121,109.3
Mike James,BRK,PG,30.75,13,18.2,37.8,22.9,16.1,27,0.778,61,0.377,31,0.355,0.429,0.481,7.7,2.5,7.5,4.2,30.6,0.46,0.08,1.54,9.5,102.8,113.3
Alize Johnson,BRK,F,25.07,18,10.5,21.8,19.1,10.9,13,1,62,0.629,6,0.167,0.596,0.638,5.2,5,26.3,0.8,10.9,0.28,0.28,0.5,10.5,131.1,102.6
Tyler Johnson,BRK,G,29.03,39,17.5,36.5,13.4,8.1,21,0.857,51,0.471,132,0.364,0.525,0.546,5.4,2,6.2,1.2,8.7,0.36,0,0.44,5.4,110.6,111.9
DeAndre Jordan,BRK,C,32.82,57,21.9,45.5,13.2,22.6,92,0.5,249,0.763,1,0,0.76,0.733,7.5,7.5,18.9,1.6,10.1,0.3,1.14,1.49,8.2,126.5,104.9
Rodions Kurucs,BRK,F,23.28,5,3.2,6.6,8.3,0,0,0,1,0,2,0.5,0.5,0.5,0.6,0.6,10.5,0.4,15.3,0,0,0,6.6,,
Caris LeVert,BRK,G,26.73,12,27.8,57.9,31.5,10.8,34,0.765,137,0.474,63,0.349,0.49,0.516,18.5,4.3,8.6,6,34.2,1.08,0.5,2.17,11.2,107.6,110.5
Timothe Luwawu-Cabarrot,BRK,SF,26.02,58,18.1,37.7,17.4,10.3,43,0.814,117,0.47,239,0.314,0.471,0.493,6.4,2.2,6.8,1.2,8.5,0.57,0.1,0.74,5.7,99.7,108
Norvel Pelle,BRK,C,28.28,3,9.3,19.3,15.7,30,0,0,7,0.429,0,0,0.429,0.429,2,2.3,13.9,0,0,0,1,1,0,75.8,83.2
Reggie Perry,BRK,F-C,21.15,26,8.1,16.9,20.4,15.2,13,0.769,57,0.491,21,0.19,0.436,0.466,3,2.8,19.1,0.5,9,0.23,0.23,0.58,8,100.3,94.2
Taurean Prince,BRK,F,27.15,12,18.2,37.8,19.4,11.4,27,0.889,37,0.459,37,0.351,0.493,0.565,8.1,2.8,8.6,0.6,4.3,0.67,0.67,0.92,5.2,105,106
Andre Roberson,BRK,G-F,29.45,5,12.6,26.2,11.7,11.8,2,0.5,6,0.167,8,0.125,0.179,0.202,1.2,3,13.2,0.8,7.4,0.6,0.2,0.4,4.5,78.5,109.5
Landry Shamet,BRK,G,24.18,61,23,47.9,16.7,8.9,78,0.846,123,0.463,333,0.387,0.549,0.578,9.3,1.8,4.4,1.6,9.3,0.52,0.16,0.79,5.2,112.5,112.3
Iman Shumpert,BRK,SG,30.89,2,5.5,11.5,19.8,20,0,0,1,1,3,0,0.25,0.25,1,0.5,5,0,0,0.5,0,0.5,0,55.9,117.4
Noah Vonleh,BRK,F,25.73,4,2.7,5.6,20.2,40,0,0,1,0,2,0,0,0,0,0.3,5.1,0.3,10.4,0,0,0.5,0,,
